Rk,Player,Age,Team_adv,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,RookieSeason,Team_sl,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Impact_PC1
229.0,Tony Snell,22.0,CHI,SG,77.0,12.0,1231.0,8.0,0.489,0.53,0.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,-0.1,1.7,1.6,0.063,-3.1,0.5,-2.6,-0.2,,2013-14,2013-14,CHI,5,34.5,11.8,3.6,9.8,0.367,1.6,4.6,0.348,3.0,3.4,0.882,1.6,5.0,6.6,2.2,1.2,0.4,0.8,1.6,0.0701074743473294
245.0,Robert Sacre,24.0,LAL,C,65.0,13.0,1089.0,12.1,0.513,0.0,0.313,8.0,16.9,12.5,7.0,1.1,3.1,11.4,15.5,0.7,0.7,1.4,0.061,-3.0,-0.5,-3.6,-0.4,,2013-14,2013-14,LAL,5,23.3,8.6,2.8,6.6,0.424,0.0,0.0,0.0,3.0,3.8,0.789,2.2,4.4,6.6,0.6,0.6,0.8,2.2,3.4,0.2717097948660296
248.0,Bismack Biyombo,21.0,CHA,C,77.0,9.0,1072.0,13.3,0.606,0.0,0.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.144,-2.9,1.7,-1.2,0.2,,2013-14,2013-14,CHA,4,23.4,5.5,1.8,2.5,0.7,0.0,0.0,0.0,2.0,4.5,0.444,1.3,6.5,7.8,1.3,0.3,1.5,3.0,3.0,0.954636258182086
252.0,Tyler Zeller,24.0,CLE,C,70.0,9.0,1049.0,15.4,0.581,0.003,0.417,10.8,19.6,15.1,5.6,0.9,3.0,14.9,17.1,1.5,1.1,2.6,0.12,-1.8,-0.4,-2.2,-0.1,,2013-14,2013-14,CLE,4,27.0,10.5,4.3,8.3,0.515,0.0,0.0,0.0,2.0,3.0,0.667,1.8,6.5,8.3,0.0,0.8,0.8,3.3,5.0,0.9099094451892904
253.0,Diante Garrett,25.0,UTA,PG,71.0,0.0,1048.0,7.1,0.459,0.362,0.045,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,-1.1,0.3,-0.8,-0.036,-4.0,-0.6,-4.6,-0.7,,2013-14,2013-14,PHX,7,16.7,5.7,2.6,6.0,0.429,0.3,0.9,0.333,0.3,0.9,0.333,0.4,0.9,1.3,3.9,0.9,0.0,1.0,1.0,-0.6247259508679032
255.0,Jordan Hamilton,23.0,2TM,SF,60.0,12.0,1019.0,12.7,0.507,0.527,0.136,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,0.4,1.1,1.6,0.073,0.2,0.6,0.7,0.7,,2013-14,2013-14,DEN,4,26.8,15.8,5.8,14.3,0.404,2.8,6.3,0.44,1.5,1.8,0.857,1.8,4.0,5.8,0.8,1.5,0.3,1.3,4.0,0.7703885930792278
256.0,Chris Douglas-Roberts,27.0,CHA,SF,49.0,8.0,1016.0,12.2,0.588,0.524,0.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,1.1,1.2,2.4,0.113,-1.1,0.5,-0.5,0.4,,2013-14,2013-14,LAL,5,23.2,8.6,2.2,6.4,0.344,0.4,2.2,0.182,3.8,4.4,0.864,0.2,1.4,1.6,1.8,0.2,0.2,1.6,0.8,0.8000385032857332
258.0,Ish Smith,25.0,PHO,PG,70.0,1.0,1006.0,11.7,0.438,0.082,0.139,3.5,10.9,7.2,26.0,2.4,1.0,17.9,15.9,0.0,1.0,1.0,0.048,-2.0,0.6,-1.4,0.2,,2013-14,2013-14,MIL,5,20.8,7.2,3.2,8.2,0.39,0.4,1.4,0.286,0.4,1.2,0.333,0.0,3.2,3.2,3.0,0.6,0.0,1.4,1.0,0.3890651953098717
276.0,Cory Joseph,22.0,SAS,SG,68.0,19.0,936.0,14.7,0.558,0.143,0.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,0.148,-0.4,1.3,0.9,0.7,,2013-14,2013-14,SAS,4,28.1,10.3,3.5,9.0,0.389,0.8,2.8,0.273,2.5,3.5,0.714,1.0,2.8,3.8,4.5,0.8,0.3,3.3,1.8,1.2718742910641947
279.0,Kent Bazemore,24.0,2TM,SG,67.0,15.0,911.0,11.2,0.515,0.373,0.318,1.2,12.6,6.9,15.7,2.3,1.0,16.8,22.6,-0.6,0.8,0.2,0.011,-3.0,-0.2,-3.3,-0.3,,2013-14,2013-14,GOS,7,30.2,18.4,6.9,15.6,0.44,1.0,4.4,0.226,3.7,5.0,0.743,0.1,4.4,4.6,3.1,1.7,0.3,3.6,3.1,0.0098641490507959
282.0,Ray McCallum,22.0,SAC,PG,45.0,10.0,897.0,9.7,0.439,0.197,0.143,2.2,7.8,5.0,21.0,1.2,0.8,10.9,17.6,0.0,0.4,0.4,0.02,-2.3,-0.8,-3.1,-0.3,,2013-14,2013-14,SAC,5,30.2,12.6,3.8,10.0,0.38,0.0,0.4,0.0,5.0,7.4,0.676,0.8,3.4,4.2,4.0,2.2,0.4,2.4,3.8,-0.0424488834090609
284.0,Henry Sims,23.0,2TM,C,46.0,25.0,875.0,16.1,0.535,0.004,0.442,12.5,17.2,14.8,9.5,1.6,1.9,11.1,18.0,1.4,0.7,2.1,0.115,-0.8,-1.4,-2.2,0.0,,2013-14,2013-14,CHA,6,18.8,4.7,2.0,5.8,0.343,0.0,0.0,0.0,0.7,1.2,0.571,1.3,2.7,4.0,0.8,0.5,0.7,1.2,2.5,0.9394490461235409
285.0,Thomas Robinson,22.0,POR,PF,70.0,0.0,873.0,14.1,0.502,0.003,0.345,13.1,24.6,18.9,6.0,1.3,1.6,14.5,19.7,0.4,1.2,1.6,0.09,-2.7,-0.6,-3.2,-0.3,,2013-14,2013-14,POR,5,29.1,10.4,4.0,10.6,0.377,0.0,0.0,0.0,2.4,4.8,0.5,4.8,8.0,12.8,1.2,1.0,1.2,3.0,4.4,0.5865501688455256
290.0,Quincy Acy,23.0,2TM,SF,63.0,0.0,847.0,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,0.8,-1.7,0.1,,2013-14,2013-14,TOR,5,27.6,14.0,5.2,10.4,0.5,0.4,2.2,0.182,3.2,4.6,0.696,1.6,4.6,6.2,1.0,1.2,0.6,4.0,5.4,0.4121704269773881
294.0,Gorgui Dieng,24.0,MIN,C,60.0,15.0,818.0,16.5,0.534,0.004,0.41,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,0.7,1.5,2.2,0.129,-2.0,0.9,-1.1,0.2,ROY-6,2013-14,2013-14,MIN,6,15.1,4.8,2.0,3.7,0.545,0.0,0.0,0.0,0.8,1.2,0.714,0.8,2.3,3.2,0.8,1.0,1.2,2.2,3.5,1.1340562565994894
298.0,Quincy Miller,21.0,DEN,PF,52.0,16.0,789.0,8.6,0.459,0.367,0.215,4.9,15.2,10.1,4.9,1.4,3.0,14.6,17.7,-0.7,0.7,0.0,0.002,-3.4,-0.4,-3.7,-0.4,,2013-14,2013-14,DEN,6,21.4,9.8,3.8,10.0,0.383,1.5,3.3,0.45,0.7,1.2,0.571,2.5,3.5,6.0,1.2,0.3,1.7,1.8,4.0,-0.2601685989867967
299.0,Chris Johnson,23.0,BOS,SF,40.0,0.0,789.0,10.8,0.537,0.593,0.201,4.3,9.8,7.0,6.0,1.8,0.4,8.6,14.3,0.9,0.5,1.4,0.085,-1.2,0.0,-1.2,0.2,,2013-14,2013-14,SEL,5,16.8,7.0,2.2,5.6,0.393,1.4,4.0,0.35,1.2,1.4,0.857,0.6,2.0,2.6,0.8,0.8,0.8,1.6,2.4,0.5061515131403259
299.0,Chris Johnson,23.0,BOS,SF,40.0,0.0,789.0,10.8,0.537,0.593,0.201,4.3,9.8,7.0,6.0,1.8,0.4,8.6,14.3,0.9,0.5,1.4,0.085,-1.2,0.0,-1.2,0.2,,2013-14,2013-14,MIN,6,18.2,6.7,2.2,4.5,0.481,0.0,0.0,0.0,2.3,3.5,0.667,1.5,4.2,5.7,2.2,0.3,1.5,2.3,3.2,0.5061515131403259
