Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
Brandon McCoy,MIA,3,11.1,5.3,1.3,2.0,0.667,0.0,0.0,0.0,2.7,3.7,0.727,2.0,2.3,4.3,0.7,0.7,0.3,0.3,2.7,2021-22
Dewan Hernandez,WAS,3,13.7,5.3,2.0,4.7,0.429,0.0,0.7,0.0,1.3,2.7,0.5,1.0,1.7,2.7,0.3,0.3,0.7,0.7,2.0,2021-22
Yante Maten,ORL,4,12.8,5.3,1.5,4.5,0.333,0.0,0.5,0.0,2.3,2.8,0.818,1.5,2.8,4.3,0.3,0.5,0.5,0.5,2.0,2021-22
Jalen Crutcher,MIL,4,18.9,5.3,2.0,5.8,0.348,1.0,3.5,0.286,0.3,0.5,0.5,1.0,1.5,2.5,2.5,0.0,0.3,1.0,1.3,2021-22
Jordan Ford,LAC,5,14.5,5.2,1.8,4.8,0.375,1.2,2.6,0.462,0.4,0.4,1.0,0.8,1.2,2.0,2.2,0.4,0.2,0.2,0.8,2021-22
Daishen Nix,PHL,5,11.5,5.2,1.8,3.2,0.563,0.2,1.0,0.2,1.4,1.8,0.778,0.4,1.4,1.8,1.8,1.6,0.2,1.2,1.6,2021-22
Jerome Robinson,CHI,5,20.3,5.0,1.6,5.6,0.286,1.0,3.6,0.278,0.8,0.8,1.0,0.4,2.8,3.2,2.2,0.4,1.0,0.4,1.6,2021-22
Neemias Queta,SAC,5,19.7,5.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.8,0.556,2.4,2.2,4.6,0.8,0.6,1.0,1.4,2.4,2021-22
Xavier Rathan-Mayes,WAS,4,17.3,5.0,2.3,5.8,0.391,0.5,2.8,0.182,0.0,0.0,0.0,0.0,4.5,4.5,4.3,0.0,0.3,1.5,1.3,2021-22
Devin Robinson,IND,5,16.1,5.0,2.0,5.8,0.345,0.0,0.6,0.0,1.0,2.0,0.5,1.2,3.4,4.6,0.8,1.0,0.4,0.8,1.6,2021-22
Tyrique Jones,PHX,4,13.2,5.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.8,0.571,3.3,2.5,5.8,0.5,0.8,0.5,0.8,3.0,2021-22
Aric Holman,BOS,5,8.5,5.0,1.8,4.2,0.429,1.0,3.0,0.333,0.4,0.4,1.0,0.2,1.6,1.8,0.2,0.0,0.8,0.4,0.8,2021-22
Isiaha Mike,TOR,3,10.3,5.0,1.3,3.0,0.444,0.7,1.3,0.5,1.7,2.0,0.833,0.3,0.3,0.7,0.3,0.0,0.7,1.7,0.7,2021-22
Sehmus Hazer,CLE,3,14.3,5.0,1.3,5.3,0.25,0.3,2.0,0.167,2.0,2.7,0.75,0.0,1.3,1.3,1.0,0.0,0.0,0.3,0.7,2021-22
Kahlil Whitney,GOS,1,9.6,5.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,2021-22
Quinton Rose,NYK,1,12.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2021-22
Bennie Boatwright,IND,1,5.3,5.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-22
Joel Ayayi,LAL,5,21.2,4.8,2.0,4.6,0.435,0.2,1.6,0.125,0.6,0.6,1.0,0.6,2.4,3.0,2.4,0.4,0.4,1.2,1.2,2021-22
Didi Louzada,NOP,5,20.0,4.8,2.0,6.2,0.323,0.6,3.6,0.167,0.2,0.4,0.5,0.4,2.4,2.8,1.8,1.0,0.6,1.8,1.2,2021-22
Malcolm Hill,NOP,4,11.2,4.8,1.8,3.8,0.467,0.8,1.8,0.429,0.5,0.5,1.0,0.3,3.0,3.3,0.5,0.0,0.3,1.3,2.8,2021-22
M.J. Walker,NYK,3,16.2,4.7,1.7,3.0,0.556,1.3,1.7,0.8,0.0,0.0,0.0,0.7,2.0,2.7,0.7,0.7,0.3,0.7,1.0,2021-22
Yam Madar,BOS,3,15.7,4.7,2.3,5.0,0.467,0.0,1.3,0.0,0.0,0.0,0.0,0.7,1.0,1.7,1.0,0.0,0.0,1.0,0.3,2021-22
Admiral Schofield,ATL,5,18.3,4.6,1.6,4.4,0.364,1.2,3.4,0.353,0.2,0.8,0.25,0.8,3.2,4.0,2.0,0.2,0.6,0.6,2.6,2021-22
Spencer Littleson,DET,5,16.6,4.6,1.6,5.0,0.32,1.4,4.6,0.304,0.0,0.0,0.0,0.2,2.0,2.2,0.6,0.4,0.0,0.4,1.2,2021-22
James Huff,WAS,4,17.7,4.5,1.8,5.5,0.318,0.0,2.0,0.0,1.0,1.3,0.8,1.8,2.3,4.0,2.0,0.8,2.0,0.3,3.3,2021-22
Josh Gray,DEN,4,20.8,4.5,2.3,4.3,0.529,0.0,0.8,0.0,0.0,0.0,0.0,0.3,1.5,1.8,3.3,1.0,0.3,1.0,1.3,2021-22
A.J. Lawson,ATL,4,20.9,4.5,1.8,6.5,0.269,0.5,4.0,0.125,0.5,0.5,1.0,0.5,3.5,4.0,1.8,0.5,0.3,1.0,2.3,2021-22
Tremont Waters,HOU,2,31.7,4.5,1.5,9.0,0.167,0.5,4.5,0.111,1.0,1.0,1.0,0.5,5.0,5.5,4.5,3.5,0.0,3.0,3.5,2021-22
Jaire Grayer,ORL,2,12.6,4.5,2.0,5.5,0.364,0.5,2.5,0.2,0.0,0.0,0.0,0.5,1.5,2.0,1.0,0.0,0.0,1.0,0.5,2021-22
Matt Mooney,UTA,4,16.4,4.5,2.0,4.8,0.421,0.5,1.5,0.333,0.0,0.0,0.0,0.3,1.8,2.0,1.3,0.0,0.0,2.5,1.8,2021-22
Jose Alvarado,NOP,5,14.1,4.4,1.8,5.2,0.346,0.6,2.4,0.25,0.2,0.2,1.0,0.2,1.6,1.8,2.0,1.4,0.4,0.6,1.6,2021-22
Ibi Watson,ATL,5,16.6,4.4,1.6,4.6,0.348,0.8,2.4,0.333,0.4,0.4,1.0,0.6,1.4,2.0,1.2,0.2,0.0,0.6,0.8,2021-22
"Charlie Brown, Jr.",OKC,5,19.7,4.4,2.0,7.2,0.278,0.4,3.2,0.125,0.0,0.4,0.0,0.6,3.8,4.4,0.8,0.4,1.2,1.6,2.4,2021-22
Justin Robinson,SAS,3,17.6,4.3,2.0,4.3,0.462,0.0,1.0,0.0,0.3,0.3,1.0,2.0,2.0,4.0,2.7,0.7,2.0,0.0,2.0,2021-22
Paul White,UTA,3,9.4,4.3,1.7,2.0,0.833,1.0,1.3,0.75,0.0,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.0,0.3,1.0,2021-22
Aubrey Dawkins,WAS,3,17.6,4.3,1.7,6.0,0.278,0.3,2.3,0.143,0.7,0.7,1.0,0.7,3.0,3.7,0.7,1.3,0.3,1.3,0.7,2021-22
Trey Phills,HOU,3,8.2,4.3,1.3,2.3,0.571,0.0,0.7,0.0,1.7,2.0,0.833,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.3,2021-22
Matur Maker,DEN,3,7.0,4.3,1.7,3.3,0.5,0.0,0.7,0.0,1.0,1.7,0.6,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.7,2021-22
Eugene German,DEN,3,9.0,4.3,1.7,5.7,0.294,0.3,2.0,0.167,0.7,1.3,0.5,0.0,1.3,1.3,0.3,0.3,0.0,0.3,0.7,2021-22
Filip Petrusev,PHL,4,17.0,4.3,1.8,4.8,0.368,0.0,0.8,0.0,0.8,1.0,0.75,1.0,1.8,2.8,0.8,0.5,2.0,0.5,2.5,2021-22
Jordan Schakel,SAC,4,13.9,4.3,1.8,6.0,0.292,0.8,4.3,0.176,0.0,0.8,0.0,1.0,1.8,2.8,0.8,0.8,0.0,0.3,1.5,2021-22
Mac McClung,LAL,5,16.1,4.2,1.2,6.2,0.194,0.2,2.2,0.091,1.6,1.6,1.0,1.0,1.8,2.8,1.6,0.2,0.2,1.2,0.6,2021-22
Usman Garuba,HOU,3,18.0,4.0,1.7,5.0,0.333,0.0,1.3,0.0,0.7,1.7,0.4,3.0,5.0,8.0,2.7,2.0,0.7,1.3,2.7,2021-22
Anthony Tarke,DET,4,15.8,4.0,1.8,3.0,0.583,0.0,0.5,0.0,0.5,1.3,0.4,1.0,2.0,3.0,0.8,0.8,1.3,0.3,2.0,2021-22
Asbjorn Midtgaard,ORL,4,11.6,4.0,1.8,3.0,0.583,0.3,0.3,1.0,0.3,1.0,0.25,1.5,1.5,3.0,0.8,0.3,0.8,0.3,1.3,2021-22
Trey Kell,PHX,3,13.9,4.0,1.3,4.7,0.286,0.7,2.7,0.25,0.7,0.7,1.0,0.0,2.0,2.0,0.7,0.3,0.0,0.7,0.7,2021-22
Vitto Brown,PHX,4,10.5,4.0,1.3,4.3,0.294,1.3,3.0,0.417,0.3,0.5,0.5,0.5,1.8,2.3,0.5,0.3,0.0,1.0,2.0,2021-22
Justin Patton,NYK,1,10.8,4.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2021-22
Biram Faye,SAS,1,6.8,4.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,2.0,1.0,3.0,0.0,1.0,0.0,2.0,4.0,2021-22
Ryan Daly,CHI,3,9.2,4.0,2.0,5.3,0.375,0.0,2.3,0.0,0.0,0.0,0.0,0.7,1.0,1.7,0.0,0.0,0.0,1.3,0.7,2021-22
Deividas Sirvydis,DET,4,11.4,4.0,1.5,5.8,0.261,0.8,4.3,0.176,0.3,0.3,1.0,0.0,1.5,1.5,0.0,0.5,0.0,1.0,1.5,2021-22
Dedric Lawson,BOS,5,7.1,3.8,1.6,2.4,0.667,0.6,1.2,0.5,0.0,0.0,0.0,0.2,2.2,2.4,0.4,0.4,0.2,0.4,1.0,2021-22
Aamir Simms,NYK,4,11.1,3.8,1.3,3.3,0.385,0.8,1.8,0.429,0.5,0.5,1.0,0.8,2.0,2.8,0.5,0.5,0.3,0.3,0.5,2021-22
Raiquan Gray,BRK,3,11.3,3.7,1.3,2.3,0.571,0.3,0.3,1.0,0.7,0.7,1.0,0.7,3.7,4.3,0.3,0.3,0.3,0.3,1.7,2021-22
Travis Munnings,GOS,3,7.5,3.7,1.3,3.7,0.364,0.7,1.7,0.4,0.3,0.7,0.5,0.7,0.7,1.3,0.3,0.3,0.0,0.3,0.7,2021-22
Jemerrio Jones,MIL,2,17.9,3.5,1.5,3.5,0.429,0.0,1.0,0.0,0.5,1.5,0.333,3.0,5.0,8.0,3.5,0.5,0.5,2.5,1.5,2021-22
Justin Turner,SAS,4,14.8,3.5,1.8,4.8,0.368,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.8,0.3,0.0,0.8,1.5,2021-22
Jahlil Tripp,SAS,2,9.5,3.5,0.5,2.5,0.2,0.0,0.5,0.0,2.5,3.0,0.833,0.0,2.0,2.0,1.0,0.5,0.0,1.0,1.0,2021-22
Nate Sestina,UTA,3,14.8,3.3,1.3,4.0,0.333,0.7,3.3,0.2,0.0,0.0,0.0,0.0,5.0,5.0,0.3,0.3,0.7,0.0,1.7,2021-22
Alan Griffin,LAL,3,7.1,3.3,1.3,3.0,0.444,0.3,1.7,0.2,0.3,0.7,0.5,0.3,1.3,1.7,0.0,0.7,0.7,0.0,0.0,2021-22
Jordan Bell,ATL,3,13.3,3.3,1.7,2.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.7,1.0,0.7,0.3,1.7,0.7,2021-22
Nahziah Carter,ATL,3,14.8,3.3,1.3,4.0,0.333,0.0,1.7,0.0,0.7,2.0,0.333,0.7,0.7,1.3,1.0,0.7,0.7,0.3,2.3,2021-22
Karim Mane,MIN,3,8.4,3.3,0.7,3.7,0.182,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.7,1.7,0.3,0.7,0.0,1.3,1.0,2021-22
Ryan Woolridge,OKC,4,13.6,3.3,1.5,2.5,0.6,0.0,0.3,0.0,0.3,0.5,0.5,0.8,1.5,2.3,1.5,0.0,0.0,0.8,0.8,2021-22
Jon Axel Gudmundsson,PHX,4,13.3,3.3,1.0,6.3,0.16,0.3,3.3,0.077,1.0,1.5,0.667,0.8,0.8,1.5,2.8,0.5,0.0,1.0,0.8,2021-22
Paul Eboua,MIL,5,11.1,3.2,1.2,3.4,0.353,0.2,1.0,0.2,0.6,0.8,0.75,2.0,0.6,2.6,0.4,0.4,0.8,0.6,2.4,2021-22
Nathaniel Mason,PHX,5,16.1,3.0,1.2,5.8,0.207,0.2,2.2,0.091,0.4,0.4,1.0,0.6,1.2,1.8,2.6,0.8,0.4,1.0,0.8,2021-22
Zach Hankins,PHX,2,12.8,3.0,1.0,2.5,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.5,3.5,5.0,0.5,0.0,0.5,0.0,0.5,2021-22
Stephen Domingo,SAS,3,8.4,3.0,1.0,2.3,0.429,0.3,1.0,0.333,0.7,0.7,1.0,0.3,1.7,2.0,1.0,0.0,0.0,0.0,0.0,2021-22
Grant Jerrett,DET,3,15.4,3.0,1.3,2.3,0.571,0.0,0.7,0.0,0.3,0.7,0.5,1.0,1.7,2.7,0.7,0.7,0.7,0.7,2.3,2021-22
Romeo Weems,MEM,4,12.9,3.0,1.3,3.8,0.333,0.0,1.0,0.0,0.5,0.8,0.667,0.8,2.3,3.0,1.0,0.8,0.0,1.5,0.5,2021-22
Jeremiah Tilmon,ORL,1,5.8,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2021-22
John Egbunu,MIN,3,10.0,3.0,0.7,1.3,0.5,0.0,0.3,0.0,1.7,4.7,0.357,1.0,2.0,3.0,0.7,0.0,0.3,1.7,1.3,2021-22
Malcolm Miller,MIN,5,14.2,3.0,1.2,3.8,0.316,0.2,2.0,0.1,0.4,0.4,1.0,0.4,1.0,1.4,0.4,0.6,0.0,0.6,2.0,2021-22
Tyrone Wallace,IND,5,18.3,2.8,0.6,4.0,0.15,0.2,1.6,0.125,1.4,1.4,1.0,0.4,2.4,2.8,1.6,1.0,0.2,1.6,2.0,2021-22
London Perrantes,MIN,5,13.9,2.8,1.0,3.0,0.333,0.6,1.4,0.429,0.2,0.4,0.5,0.2,0.6,0.8,1.8,0.4,0.0,1.2,1.0,2021-22
Anas Mahmoud,TOR,3,9.8,2.7,1.3,2.3,0.571,0.0,0.0,0.0,0.0,0.3,0.0,1.7,1.7,3.3,0.3,0.3,1.0,1.7,0.7,2021-22
D.J. Steward,SAC,3,8.5,2.7,0.7,3.3,0.2,0.0,0.7,0.0,1.3,1.3,1.0,0.0,1.0,1.0,0.0,0.7,0.0,0.3,0.7,2021-22
D.J. Stewart,MIA,5,14.6,2.6,1.0,3.0,0.333,0.2,1.0,0.2,0.4,0.4,1.0,0.8,0.4,1.2,0.2,0.2,0.2,0.4,1.4,2021-22
Chris Silva,BRK,4,9.4,2.5,1.3,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,3.0,0.5,0.0,2.0,0.3,0.8,2021-22
James Banks,CLE,4,11.1,2.5,0.8,1.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.8,2.8,0.5,0.3,0.5,1.3,2.0,2021-22
Zavier Simpson,LAL,4,13.1,2.5,1.0,2.8,0.364,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,2.5,0.5,0.3,1.0,1.0,2021-22
Juwan Morgan,UTA,2,18.1,2.5,1.0,3.5,0.286,0.5,2.0,0.25,0.0,0.0,0.0,1.5,2.5,4.0,1.5,1.0,0.5,1.0,2.5,2021-22
"Kerry Blackshear, Jr.",MIN,2,10.8,2.5,1.0,2.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.5,2.5,4.0,0.5,0.0,0.5,0.5,2.0,2021-22
Tyler Hagedorn,LAL,2,6.7,2.5,1.0,1.5,0.667,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.5,2.0,0.5,0.0,0.0,0.0,0.0,2021-22
Devonte Patterson,DAL,4,10.4,2.5,0.8,3.8,0.2,0.8,2.8,0.273,0.3,1.0,0.25,0.8,0.8,1.5,0.8,1.0,0.0,0.5,1.5,2021-22
Sterling Manley,CHI,2,9.1,2.5,1.0,2.5,0.4,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.5,2.0,0.0,0.0,0.5,0.5,1.5,2021-22
Mike Smith,MIL,5,11.8,2.4,1.0,2.4,0.417,0.4,1.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.2,0.0,1.0,0.8,2021-22
Justin Smith,MIA,4,9.8,2.3,1.0,2.0,0.5,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.8,1.3,0.5,0.0,0.0,0.3,0.8,2021-22
Freddie Gillespie,TOR,5,17.2,2.2,1.0,4.4,0.227,0.0,0.0,0.0,0.2,0.4,0.5,2.2,4.0,6.2,0.2,0.8,1.6,0.8,3.6,2021-22
Matthew Hurt,HOU,5,10.3,2.2,0.8,2.8,0.286,0.6,1.8,0.333,0.0,0.0,0.0,0.4,1.4,1.8,0.4,0.4,0.0,0.2,1.0,2021-22
Juwan Durham,ATL,2,11.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,3.5,1.5,0.0,1.0,0.5,1.0,2021-22
"Troy Baxter, Jr.",CHI,4,6.8,2.0,1.0,2.5,0.4,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.8,1.8,1.0,0.3,0.3,0.5,1.0,2021-22
Denzel Mahoney,CHA,3,10.7,2.0,0.7,2.0,0.333,0.7,2.0,0.333,0.0,0.0,0.0,0.3,2.3,2.7,0.7,0.7,0.0,0.7,1.0,2021-22
Darnell Cowart,MEM,1,16.2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,7.0,9.0,6.0,0.0,0.0,4.0,3.0,2021-22
John Mooney,MIL,1,11.8,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,2.0,0.0,1.0,2.0,2021-22
Elijah Pemberton,GOS,3,13.5,2.0,0.7,3.0,0.222,0.0,1.3,0.0,0.7,1.7,0.4,1.3,0.7,2.0,1.0,0.3,0.0,0.3,1.3,2021-22
Tyler Hall,NYK,3,7.9,2.0,0.7,2.0,0.333,0.7,2.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.7,2021-22
Malik Fitts,LAC,1,11.8,2.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,2021-22
Blake Francis,DET,3,9.3,2.0,1.0,4.0,0.25,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,1.0,0.0,0.7,1.3,2021-22
Zaccheus Darko-Kelly,TOR,2,13.6,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,1.0,0.0,0.5,2.0,2021-22
Emmanuel Chukwubuikem Nzekwesi,PHX,1,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2021-22
K.J. Lawson,BOS,4,8.3,2.0,0.8,3.3,0.231,0.3,1.8,0.143,0.3,1.0,0.25,0.3,1.0,1.3,1.0,0.0,0.5,0.3,1.8,2021-22
Tariq Owens,DAL,2,12.0,2.0,1.0,2.5,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,2.5,0.0,0.5,0.0,1.0,2.5,2021-22
Josh Giddey,OKC,1,5.1,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22
Mitch Ballock,PHL,4,12.8,2.0,0.8,3.8,0.2,0.5,3.0,0.167,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.3,0.0,0.5,0.3,2021-22
Giorgi Bezhanishvili,DEN,3,8.6,2.0,1.0,2.7,0.375,0.0,0.3,0.0,0.0,0.0,0.0,0.7,1.0,1.7,0.3,0.0,0.3,1.3,2.0,2021-22
Rayshaun Hammonds,TOR,2,9.9,2.0,0.5,4.5,0.111,0.5,1.5,0.333,0.5,1.0,0.5,0.5,1.5,2.0,0.0,1.0,0.5,0.0,3.5,2021-22
Malachi Richardson,UTA,2,13.5,2.0,0.5,4.0,0.125,0.5,2.0,0.25,0.5,1.0,0.5,0.0,2.5,2.5,0.0,0.0,0.0,2.5,3.5,2021-22
Omari Spellman,CHI,5,7.9,1.8,0.6,2.8,0.214,0.0,1.8,0.0,0.6,0.6,1.0,1.0,2.2,3.2,0.2,0.0,0.6,0.4,0.6,2021-22
Tyree White,MIL,5,9.6,1.8,0.6,2.2,0.273,0.2,1.0,0.2,0.4,1.2,0.333,0.6,2.0,2.6,0.4,0.2,0.2,0.4,0.4,2021-22
Amida Brimah,IND,4,12.3,1.8,0.8,1.8,0.429,0.0,0.0,0.0,0.3,0.5,0.5,0.8,3.5,4.3,0.5,0.5,1.3,1.0,1.0,2021-22
Yves Pons,MEM,4,17.2,1.8,0.8,1.8,0.429,0.3,0.5,0.5,0.0,0.0,0.0,0.3,1.5,1.8,0.5,0.8,1.0,0.3,0.8,2021-22
Chandler Vaudrin,CLE,3,10.3,1.7,0.7,0.7,1.0,0.0,0.0,0.0,0.3,0.7,0.5,0.7,2.3,3.0,2.0,0.3,0.3,1.7,0.3,2021-22
Marques Bolden,WAS,3,12.7,1.7,0.7,2.0,0.333,0.0,0.3,0.0,0.3,0.3,1.0,0.7,3.0,3.7,0.7,1.0,0.3,0.7,1.3,2021-22
Semaj Christon,DEN,3,10.3,1.7,0.7,2.3,0.286,0.3,0.3,1.0,0.0,0.0,0.0,0.3,1.3,1.7,1.3,0.3,0.3,0.7,0.7,2021-22
Marcus Graves,SAC,3,3.8,1.7,0.3,1.0,0.333,0.3,1.0,0.333,0.7,0.7,1.0,0.0,0.3,0.3,0.7,0.0,0.3,1.0,0.7,2021-22
Justin Jackson,ORL,3,9.6,1.7,0.7,4.7,0.143,0.3,2.7,0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,0.0,0.3,0.7,2021-22
Jon Teske,ORL,5,9.1,1.6,0.6,3.2,0.188,0.0,0.8,0.0,0.4,1.2,0.333,1.0,1.2,2.2,1.0,0.6,0.2,0.2,0.8,2021-22
Colbey Ross,GOS,4,12.3,1.5,0.5,2.8,0.182,0.0,0.8,0.0,0.5,0.5,1.0,0.5,1.5,2.0,2.3,0.5,0.0,1.5,1.5,2021-22
Skal Labissiere,SAS,2,13.8,1.5,0.5,3.0,0.167,0.0,0.5,0.0,0.5,1.0,0.5,0.0,4.0,4.0,2.0,0.0,0.5,0.5,3.0,2021-22
Balsa Koprivica,DET,2,7.1,1.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,2.5,1.0,3.5,0.0,0.0,0.5,1.5,1.5,2021-22
Devonte Green,PHL,2,5.8,1.5,0.5,2.5,0.2,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2021-22
Milton Doyle,POR,4,12.3,1.5,0.5,2.8,0.182,0.5,2.5,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.5,0.0,1.3,1.0,2021-22
Arnas Velicka,BOS,2,8.5,1.5,0.5,1.5,0.333,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,2.5,1.0,2021-22
Mark Vital,POR,3,11.8,1.3,0.7,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,4.0,0.7,0.0,0.3,0.0,1.3,2021-22
Asante Gist,WAS,3,7.0,1.3,0.3,1.7,0.2,0.0,1.0,0.0,0.7,0.7,1.0,0.0,0.7,0.7,1.3,1.0,0.0,1.7,0.0,2021-22
Kyle Fogg,UTA,3,8.5,1.3,0.7,2.7,0.25,0.0,1.0,0.0,0.0,0.3,0.0,0.0,1.7,1.7,0.7,1.0,0.3,0.7,2.0,2021-22
Reid Travis,NYK,3,10.3,1.3,0.3,3.3,0.1,0.3,0.7,0.5,0.3,0.7,0.5,2.0,0.3,2.3,0.0,0.0,0.0,1.0,1.3,2021-22
Kaleb Johnson,SAS,5,6.5,1.2,0.4,0.6,0.667,0.0,0.0,0.0,0.4,0.8,0.5,0.4,1.6,2.0,0.4,0.0,0.0,0.2,0.2,2021-22
Eric Moreland,ATL,2,13.9,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,4.5,2.5,1.0,0.5,2.0,2.0,2021-22
Daniel Hamilton,DEN,2,13.2,1.0,0.5,4.5,0.111,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.5,6.5,2.0,1.0,0.0,0.0,1.0,2021-22
Kendall Smith,GOS,2,11.1,1.0,0.5,4.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.0,1.0,0.0,1.0,0.0,2021-22
E.J. Onu,DAL,4,12.8,1.0,0.5,2.5,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.3,2.0,0.0,0.3,1.5,0.8,2.3,2021-22
Damien Jefferson,SAC,2,4.2,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2021-22
Princepal Singh,SAC,2,2.8,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2021-22
Terry Henderson,IND,3,8.3,1.0,0.3,2.0,0.167,0.3,1.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,2.0,0.7,2021-22
Arnas Velicka,BOS,4,5.9,0.8,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.3,1.0,0.0,0.5,0.5,0.8,0.0,0.0,1.3,0.8,2021-22
Kaleb Wesson,LAC,3,7.2,0.7,0.3,1.3,0.25,0.0,0.7,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.7,0.7,0.7,0.7,0.3,2021-22
Kenny Williams,CHA,3,9.6,0.7,0.3,1.3,0.25,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.3,0.3,0.0,0.3,2021-22
Kenny Wooten,MIN,3,10.8,0.7,0.3,1.7,0.2,0.0,1.0,0.0,0.0,0.3,0.0,0.3,2.3,2.7,0.3,0.0,1.3,1.0,2.0,2021-22
Jalen Tate,HOU,3,6.5,0.7,0.3,2.0,0.167,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,1.7,1.0,0.0,0.0,0.7,0.3,2021-22
Johnathan Williams,SAC,4,3.6,0.5,0.3,1.0,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.0,0.0,0.0,0.3,0.5,2021-22
Selom Mawugbe,GOS,5,18.3,0.4,0.2,1.4,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.8,4.0,0.6,0.4,3.2,1.0,2.0,2021-22
Lamar Peters,PHL,3,6.6,0.3,0.0,1.7,0.0,0.0,1.0,0.0,0.3,0.7,0.5,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.0,2021-22
